Time	Suneci_x	Suneci_y	Suneci_z	Sunbrf_x	Sunbrf_y	Sunbrf_z
19.900000	22519545954.008144	-133315496974.991790	-58515936734.860321	-146575067820.676610	-11062008509.806623	-9881700092.338511
20.900000	22519571265.829456	-133315487703.463260	-58515932037.928345	-146136426468.251460	-11546941437.202242	-14665526121.201519
21.900000	22519596579.448593	-133315478433.658390	-58515927334.183990	-145537013901.362430	-12103250580.626076	-19410092270.081001
22.900000	22519621897.991573	-133315469165.148880	-58515922623.440010	-144778637445.061250	-12734303748.055357	-24109013609.612076
23.900000	22519647218.341110	-133315459898.371900	-58515917905.888863	-143863262649.477200	-13443171398.428236	-28755900433.157925
24.900000	22519672540.086067	-133315450633.394170	-58515913181.560501	-142793008697.951080	-14232606244.241659	-33344365503.827263
25.900000	22519697866.143970	-133315441369.817080	-58515908450.280670	-141570143743.945040	-15105024321.353844	-37868032454.079697
26.900000	22519723195.477688	-133315432107.783650	-58515903712.112862	-140197080182.268680	-16062487629.791002	-42320545337.230904
27.900000	22519748525.804123	-133315422847.624210	-58515898967.202690	-138676369863.803220	-17106688453.176222	-46695579300.505424
28.900000	22519773861.704960	-133315413588.708180	-58515894215.274147	-137010699260.861430	-18238935444.504322	-50986852352.589767
29.900000	22519799199.229965	-133315404331.581470	-58515889456.567528	-135202884583.006550	-19460141545.997528	-55188138203.819397
30.900000	22519824539.425930	-133315395076.116960	-58515884691.027771	-133255866860.474820	-20770813847.431721	-59293280075.739479
31.900000	22519849882.296726	-133315385822.318540	-58515879918.657242	-131172706991.075150	-22171045422.823708	-63296205445.683624
32.900000	22519875228.678375	-133315376570.069320	-58515875139.405518	-128956580762.356220	-23660509217.725571	-67190941616.448212
33.900000	22519900577.951836	-133315367319.467900	-58515870353.316475	-126610773851.718800	-25238454027.462269	-70971632021.140808
34.900000	22519925929.079750	-133315358070.658330	-58515865560.454185	-124138676812.082110	-26903702606.111328	-74632553145.899979
35.900000	22519951283.941940	-133315348823.398120	-58515860760.712883	-121543780048.661870	-28654651929.817490	-78168131950.086227
36.900000	22519976640.875118	-133315339577.907590	-58515855954.190117	-118829668787.146060	-30489275620.687679	-81572963663.169708
37.900000	22520002001.133854	-133315330334.030090	-58515851140.817871	-116000018046.997740	-32405128541.916073	-84841829802.374527
38.900000	22520027365.763069	-133315321091.626110	-58515846320.535713	-113058587616.048070	-34399353539.520500	-87969716284.947266
39.900000	22520052731.852623	-133315311851.096950	-58515841493.520531	-110009217034.069920	-36468690308.443932	-90951831479.268097
40.900000	22520078101.489056	-133315302612.170270	-58515836659.653625	-106855820596.515260	-38609486348.601898	-93783624033.161804
41.900000	22520103473.844559	-133315293374.963270	-58515831818.987244	-103602382368.920490	-40817709943.539604	-96460800349.376404
42.900000	22520128848.090393	-133315284139.597080	-58515826971.575348	-100252951229.009350	-43088965107.223907	-98979341534.411880
43.900000	22520154225.479660	-133315274905.902940	-58515822117.344696	-96811635935.396667	-45418508413.129051	-101335519679.347060
44.900000	22520179606.639984	-133315265673.793750	-58515817256.257919	-93282600224.338074	-47801267610.901154	-103525913328.666890
45.900000	22520204991.162231	-133315256443.348450	-58515812388.350433	-89670057941.922745	-50231861928.312828	-105547421990.191130
46.900000	22520230378.215416	-133315247214.671950	-58515807513.669228	-85978268214.754532	-52704623940.844215	-107397279552.229400
47.900000	22520255767.390137	-133315237987.838810	-58515802632.247803	-82211530662.299927	-55213622880.762207	-109073066482.159730
48.900000	22520281160.978439	-133315228762.530870	-58515797743.947411	-78374180654.892410	-57752689248.377075	-110572720688.426120
49.900000	22520306556.488060	-133315219539.105030	-58515792848.925537	-74470584613.280121	-60315440574.589279	-111894546947.319200
50.900000	22520331954.963142	-133315210317.415210	-58515787947.119026	-70505135369.180283	-62895308190.388443	-113037224782.901550
51.900000	22520357357.033482	-133315201097.389400	-58515783038.497025	-66482247571.802498	-65485564831.454376	-113999814737.749760
52.900000	22520382761.661945	-133315191879.169720	-58515778123.122963	-62406353152.458076	-68079352917.736443	-114781762956.399730
53.900000	22520408168.852654	-133315182662.761870	-58515773201.000114	-58281896851.185211	-70669713338.575943	-115382904027.760890
54.900000	22520433580.692348	-133315173447.891220	-58515768272.008881	-54113331804.066292	-73249614568.930847	-115803462051.586520
55.900000	22520458994.686733	-133315164234.900560	-58515763336.300674	-49905115188.884865	-75811981941.301910	-116044049908.884490
56.900000	22520484410.425076	-133315155023.858140	-58515758393.906372	-45661703946.954597	-78349726908.404816	-116105666716.007480
57.900000	22520509829.575977	-133315145814.538180	-58515753444.727791	-41387550568.788055	-80855776118.302826	-115989693481.630870
58.900000	22520535252.975891	-133315136606.828340	-58515748488.716560	-37087098948.071037	-83323100136.015625	-115697886986.375340
59.900000	22520560678.340714	-133315127401.054080	-58515743526.016495	-32764780308.506767	-85744741650.130157	-115232371920.031100
60.900000	22520586106.714790	-133315118197.075740	-58515738556.567223	-28425009212.035603	-88113843010.642303	-114595631323.808900
61.900000	22520611538.310833	-133315108994.871540	-58515733580.360207	-24072179634.870705	-90423672941.575623	-113790495412.416340
62.900000	22520636973.756676	-133315099794.354390	-58515728597.358162	-19710661125.558945	-92667652293.196411	-112820128845.090030
63.900000	22520662410.560383	-133315090595.883440	-58515723607.719673	-15344795038.429890	-94839378698.574493	-111688016539.962920
64.900000	22520687851.848110	-133315081399.030380	-58515718611.257843	-10978890858.003397	-96932650019.652145	-110397948124.220470
65.900000	22520713295.125542	-133315072204.142410	-58515713608.125916	-6617222588.905155	-98941486460.933823	-108954001144.037410
66.900000	22520738742.270557	-133315063010.967560	-58515708598.214417	-2264025246.870258	-100860151268.131560	-107360523134.521620
67.900000	22520764192.664017	-133315053819.602080	-58515703581.566528	2076508579.853379	-102683169911.845290	-105622112691.252460
68.900000	22520789645.060532	-133315044630.218000	-58515698558.258865	6400232076.137165	-104405347693.112520	-103743599663.820050
69.900000	22520815100.921169	-133315035442.622880	-58515693528.207939	10703047457.646416	-106021785708.520430	-101730024610.538530
70.900000	22520840560.042110	-133315026256.847550	-58515688491.428322	14980909147.592457	-107527895124.634480	-99586617656.178436
71.900000	22520866022.013016	-133315017072.965060	-58515683447.953094	19229826860.098072	-108919409733.796130	-97318776888.633224
72.900000	22520891486.836128	-133315007890.969390	-58515678397.780701	23445868595.091534	-110192396768.366500	-94932046438.218948
73.900000	22520916955.140278	-133314998710.781130	-58515673340.877312	27625163543.715706	-111343265966.137790	-92432094379.977310
74.900000	22520942426.307419	-133314989532.503920	-58515668277.289558	31763904905.085060	-112368776890.903410	-89824690597.750229
75.900000	22520967900.547340	-133314980356.097430	-58515663207.000793	35858352608.563461	-113266044527.506520	-87115684743.748123
76.900000	22520993377.241589	-133314971181.665770	-58515658130.057755	39904835947.833427	-114032543176.093690	-84310984426.875015
77.900000	22521018858.058701	-133314962008.978850	-58515653046.360565	43899756118.862015	-114666108687.747960	-81416533753.388031
78.900000	22521044342.170357	-133314952838.155850	-58515647955.962646	47839588672.513306	-115164939084.084530	-78438292342.526962
79.900000	22521069828.748913	-133314943669.322080	-58515642858.920113	51720885868.262688	-115527593625.013060	-75382214926.297974
80.900000	22521095319.047226	-133314934502.308650	-58515637755.159943	55540278935.536041	-115752990386.618850	-72254231640.338745
81.900000	22521120812.236557	-133314925337.234540	-58515632644.735489	59294480247.512337	-115840402418.592330	-69060229103.307846
82.900000	22521146307.073490	-133314916174.282100	-58515627527.727898	62980285396.844200	-115789452565.840120	-65806032370.439865
83.900000	22521171806.474812	-133314907013.048600	-58515622403.961502	66594575175.891769	-115600107037.063220	-62497387840.769707
84.900000	22521197309.405048	-133314897853.688600	-58515617273.505432	70134317474.659622	-115272667799.995700	-59139947189.048416
85.900000	22521222814.411026	-133314888696.403900	-58515612136.449333	73596569075.763290	-114807763907.641600	-55739252378.354630
86.900000	22521248322.121971	-133314879541.119710	-58515606992.761482	76978477357.515839	-114206341842.999830	-52300721805.148735
87.900000	22521273834.414272	-133314870387.576280	-58515601842.329117	80277281907.084167	-113469654976.061290	-48829637616.667473
88.900000	22521299349.003628	-133314861236.099150	-58515596685.296326	83490316044.785690	-112599252227.987730	-45331134230.723488
89.900000	22521324866.102520	-133314852086.666400	-58515591521.654625	86615008246.300293	-111596966048.192810	-41810188077.491798
90.900000	22521350387.171494	-133314842939.079190	-58515586351.317940	89648883479.493332	-110464899787.303160	-38271608576.501564
91.900000	22521375911.590164	-133314833793.427640	-58515581174.327011	92589564451.199554	-109205414562.063920	-34720030350.715012
92.900000	22521401438.114643	-133314824649.893740	-58515575990.763000	95434772759.009369	-107821115707.239120	-31159906671.583385
93.900000	22521426969.454468	-133314815508.108200	-58515570800.464958	98182329950.113312	-106314838901.500380	-27595504121.518158
94.900000	22521452503.116367	-133314806368.419880	-58515565603.587280	100830158500.261340	-104689636039.982970	-24030898452.517525
95.900000	22521478039.728859	-133314797230.747760	-58515560400.095688	103376282689.855800	-102948760954.878130	-20469971611.827072
96.900000	22521503578.672890	-133314788095.189970	-58515555190.034393	105818829400.462660	-101095655039.721270	-16916409900.241873
97.900000	22521529122.032486	-133314778961.459430	-58515549973.278679	108156028816.758480	-99133932863.241684	-13373703221.898106
98.900000	22521554667.938881	-133314769829.816880	-58515544749.944275	110386215048.086870	-97067367825.851593	-9845145379.276796
99.900000	22521580217.437222	-133314760700.127370	-58515539519.973206	112507826653.441220	-94899877938.024002	-6333835362.842990
100.900000	22521605769.700024	-133314751572.517520	-58515534283.422302	114519407088.055020	-92635511758.549515	-2842679579.935598
