Time	X	Y	Z	Xd	Yd	Zd
24.900000	2707769.766775	-1522042.723033	6486757.521660	4194.469773	-5311.685462	-2992.737527
25.900000	2711962.838736	-1527353.599984	6483761.342871	4191.610825	-5310.076710	-2999.597261
26.900000	2716153.049389	-1532662.865257	6480758.305928	4188.747446	-5308.462350	-3006.453842
27.900000	2720340.394306	-1537970.513248	6477748.413987	4185.879639	-5306.842384	-3013.307264
28.900000	2724524.869059	-1543276.538350	6474731.670211	4183.007408	-5305.216814	-3020.157519
29.900000	2728706.469226	-1548580.934961	6471708.077770	4180.130755	-5303.585642	-3027.004599
30.900000	2732885.190386	-1553883.697479	6468677.639843	4177.249683	-5301.948870	-3033.848499
31.900000	2737061.028122	-1559184.820305	6465640.359614	4174.364195	-5300.306498	-3040.689210
32.900000	2741233.978019	-1564484.297839	6462596.240275	4171.474295	-5298.658529	-3047.526726
33.900000	2745404.035667	-1569782.124487	6459545.285025	4168.579984	-5297.004965	-3054.361038
34.900000	2749571.196657	-1575078.294653	6456487.497071	4165.681267	-5295.345806	-3061.192141
35.900000	2753735.456584	-1580372.802744	6453422.879627	4162.778147	-5293.681055	-3068.020026
36.900000	2757896.811046	-1585665.643169	6450351.435914	4159.870625	-5292.010714	-3074.844687
37.900000	2762055.255643	-1590956.810337	6447273.169160	4156.958706	-5290.334785	-3081.666115
38.900000	2766210.785979	-1596246.298663	6444188.082600	4154.042392	-5288.653268	-3088.484305
39.900000	2770363.397661	-1601534.102558	6441096.179477	4151.121687	-5286.966166	-3095.299249
40.900000	2774513.086299	-1606820.216440	6437997.463040	4148.196593	-5285.273480	-3102.110939
41.900000	2778659.847505	-1612104.634725	6434891.936547	4145.267114	-5283.575213	-3108.919369
42.900000	2782803.676897	-1617387.351832	6431779.603262	4142.333252	-5281.871365	-3115.724530
43.900000	2786944.570092	-1622668.362182	6428660.466457	4139.395010	-5280.161939	-3122.526417
44.900000	2791082.522714	-1627947.660198	6425534.529409	4136.452393	-5278.446937	-3129.325022
45.900000	2795217.530386	-1633225.240305	6422401.795405	4133.505402	-5276.726360	-3136.120337
46.900000	2799349.588738	-1638501.096927	6419262.267738	4130.554041	-5275.000210	-3142.912356
47.900000	2803478.693401	-1643775.224495	6416115.949707	4127.598312	-5273.268489	-3149.701071
48.900000	2807604.840008	-1649047.617436	6412962.844620	4124.638220	-5271.531198	-3156.486476
49.900000	2811728.024198	-1654318.270182	6409802.955792	4121.673767	-5269.788340	-3163.268562
50.900000	2815848.241611	-1659587.177168	6406636.286543	4118.704956	-5268.039916	-3170.047323
51.900000	2819965.487891	-1664854.332828	6403462.840204	4115.731790	-5266.285928	-3176.822752
52.900000	2824079.758683	-1670119.731598	6400282.620110	4112.754272	-5264.526378	-3183.594841
53.900000	2828191.049640	-1675383.367918	6397095.629604	4109.772405	-5262.761267	-3190.363583
54.900000	2832299.356412	-1680645.236229	6393901.872036	4106.786194	-5260.990598	-3197.128971
55.900000	2836404.674656	-1685905.330971	6390701.350764	4103.795639	-5259.214372	-3203.890999
56.900000	2840507.000032	-1691163.646591	6387494.069152	4100.800746	-5257.432591	-3210.649658
57.900000	2844606.328201	-1696420.177534	6384280.030572	4097.801516	-5255.645258	-3217.404942
58.900000	2848702.654829	-1701674.918247	6381059.238404	4094.797954	-5253.852373	-3224.156844
59.900000	2852795.975585	-1706927.863180	6377831.696032	4091.790061	-5252.053938	-3230.905356
60.900000	2856886.286140	-1712179.006786	6374597.406851	4088.777842	-5250.249956	-3237.650471
61.900000	2860973.582169	-1717428.343517	6371356.374260	4085.761299	-5248.440429	-3244.392183
62.900000	2865057.859350	-1722675.867829	6368108.601667	4082.740436	-5246.625357	-3251.130483
63.900000	2869139.113363	-1727921.574179	6364854.092486	4079.715255	-5244.804744	-3257.865366
64.900000	2873217.339894	-1733165.457026	6361592.850140	4076.685760	-5242.978591	-3264.596823
65.900000	2877292.534630	-1738407.510831	6358324.878057	4073.651954	-5241.146899	-3271.324848
66.900000	2881364.693260	-1743647.730057	6355050.179672	4070.613841	-5239.309672	-3278.049433
67.900000	2885433.811480	-1748886.109169	6351768.758430	4067.571422	-5237.466910	-3284.770572
68.900000	2889499.884985	-1754122.642632	6348480.617779	4064.524702	-5235.618615	-3291.488257
69.900000	2893562.909475	-1759357.324917	6345185.761178	4061.473684	-5233.764791	-3298.202481
70.900000	2897622.880655	-1764590.150493	6341884.192090	4058.418371	-5231.905437	-3304.913238
71.900000	2901679.794230	-1769821.113832	6338575.913987	4055.358765	-5230.040557	-3311.620519
72.900000	2905733.645910	-1775050.209409	6335260.930348	4052.294871	-5228.170152	-3318.324319
73.900000	2909784.431408	-1780277.431700	6331939.244657	4049.226691	-5226.294224	-3325.024629
74.900000	2913832.146440	-1785502.775184	6328610.860409	4046.154229	-5224.412775	-3331.721443
75.900000	2917876.786725	-1790726.234340	6325275.781103	4043.077488	-5222.525808	-3338.414754
76.900000	2921918.347985	-1795947.803650	6321934.010245	4039.996470	-5220.633323	-3345.104554
77.900000	2925956.825945	-1801167.477599	6318585.551349	4036.911180	-5218.735323	-3351.790837
78.900000	2929992.216336	-1806385.250672	6315230.407937	4033.821620	-5216.831810	-3358.473595
79.900000	2934024.514888	-1811601.117357	6311868.583537	4030.727794	-5214.922786	-3365.152822
80.900000	2938053.717338	-1816815.072145	6308500.081684	4027.629705	-5213.008253	-3371.828510
81.900000	2942079.819423	-1822027.109527	6305124.905919	4024.527356	-5211.088213	-3378.500652
82.900000	2946102.816885	-1827237.223997	6301743.059793	4021.420751	-5209.162668	-3385.169241
83.900000	2950122.705469	-1832445.410050	6298354.546862	4018.309891	-5207.231619	-3391.834271
84.900000	2954139.480924	-1837651.662186	6294959.370689	4015.194782	-5205.295069	-3398.495734
85.900000	2958153.139001	-1842855.974902	6291557.534844	4012.075426	-5203.353021	-3405.153622
86.900000	2962163.675454	-1848058.342702	6288149.042906	4008.951826	-5201.405474	-3411.807930
87.900000	2966171.086042	-1853258.760090	6284733.898458	4005.823986	-5199.452433	-3418.458649
88.900000	2970175.366525	-1858457.221570	6281312.105092	4002.691909	-5197.493899	-3425.105774
89.900000	2974176.512669	-1863653.721652	6277883.666407	3999.555597	-5195.529873	-3431.749296
90.900000	2978174.520240	-1868848.254844	6274448.586009	3996.415056	-5193.560359	-3438.389209
91.900000	2982169.385010	-1874040.815659	6271006.867509	3993.270286	-5191.585357	-3445.025506
92.900000	2986161.102754	-1879231.398611	6267558.514529	3990.121293	-5189.604870	-3451.658180
93.900000	2990149.669248	-1884419.998216	6264103.530694	3986.968079	-5187.618901	-3458.287224
94.900000	2994135.080274	-1889606.608992	6260641.919638	3983.810648	-5185.627450	-3464.912630
95.900000	2998117.331616	-1894791.225459	6257173.685003	3980.649002	-5183.630521	-3471.534392
96.900000	3002096.419061	-1899973.842140	6253698.830435	3977.483146	-5181.628115	-3478.152503
97.900000	3006072.338400	-1905154.453558	6250217.359590	3974.313082	-5179.620234	-3484.766956
98.900000	3010045.085427	-1910333.054241	6246729.276129	3971.138813	-5177.606880	-3491.377743
99.900000	3014014.655940	-1915509.638715	6243234.583722	3967.960344	-5175.588056	-3497.984858
100.900000	3017981.045738	-1920684.201513	6239733.286043	3964.777677	-5173.563764	-3504.588294
